type: sc1
name: FireWalker
algorithm: jpsplus
preprossessing [ms]: 760

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
19	233	21	240	-0,00000	7,82843	7,82843	7	0
346	288	345	293	0,00000	5,41421	5,41421	9	0
6	245	10	245	0,00000	4,00000	4,00000	5	0
491	157	485	156	0,00000	6,41421	6,41421	7	0
314	20	311	16	0,00000	5,24264	5,24264	8	0
374	32	374	36	0,00000	4,00000	4,00000	5	0
313	288	312	283	0,00000	5,41421	5,41421	8	0
312	232	316	231	0,00000	4,41421	4,41421	6	0
271	11	266	14	0,00000	6,24264	6,24264	5	0
325	168	320	166	-0,00000	5,82843	5,82843	7	0
451	32	457	40	-0,00002	10,48530	10,48528	7	0
202	376	208	367	-0,00002	11,48530	11,48528	6	0
383	246	390	242	0,00000	8,65685	8,65685	6	0
223	138	216	142	0,00000	8,65685	8,65685	7	0
382	327	380	316	0,00003	11,82840	11,82843	7	0
282	293	273	289	-0,00005	10,65690	10,65685	10	0
342	289	341	278	0,00001	11,41420	11,41421	8	0
451	21	444	17	0,00000	8,65685	8,65685	6	0
497	224	505	216	0,00001	11,31370	11,31371	6	0
480	267	469	266	0,00001	11,41420	11,41421	9	0
430	11	422	21	0,00001	13,31370	13,31371	7	0
276	203	266	213	0,00004	14,14210	14,14214	5	0
105	127	119	124	0,00004	15,24260	15,24264	10	0
194	19	202	10	0,00001	12,31370	12,31371	7	0
34	51	24	59	0,00001	13,31370	13,31371	8	0
37	97	48	89	0,00001	14,31370	14,31371	7	0
373	133	363	127	-0,00002	12,48530	12,48528	7	0
451	125	451	137	0,00003	12,82840	12,82843	10	0
420	226	426	239	-0,00002	15,48530	15,48528	6	0
106	238	98	248	0,00001	13,31370	13,31371	10	0
139	250	122	249	0,00001	17,41420	17,41421	9	0
292	65	298	49	-0,00002	18,48530	18,48528	10	1
412	176	409	158	0,00004	19,24260	19,24264	7	0
270	6	265	23	-0,00003	19,07110	19,07107	5	0
472	26	472	7	0,00000	19,00000	19,00000	6	0
158	343	140	345	0,00003	18,82840	18,82843	9	0
143	230	138	216	-0,00003	16,07110	16,07107	13	0
164	180	174	165	0,00004	19,14210	19,14214	7	0
346	348	333	360	-0,00004	17,97060	17,97056	13	0
