type: da2
name: lt_house
algorithm: jpsplus
preprossessing [ms]: 2

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
10	13	11	9	0,00000	4,41421	4,41421	4	0
29	21	29	25	0,00000	4,00000	4,00000	5	0
16	8	12	6	-0,00000	4,82843	4,82843	5	0
33	18	37	17	0,00000	4,41421	4,41421	7	0
32	24	36	25	0,00000	4,41421	4,41421	7	0
3	15	5	13	0,00000	4,00000	4,00000	5	0
22	31	23	26	0,00000	5,41421	5,41421	6	0
9	8	11	12	-0,00000	4,82843	4,82843	7	0
28	28	32	24	0,00000	5,65685	5,65685	5	0
30	15	26	15	0,00000	4,00000	4,00000	6	0
28	27	35	23	0,00000	8,65685	8,65685	9	0
18	17	27	15	-0,00000	9,82843	9,82843	10	0
39	25	35	17	0,00000	9,65685	9,65685	10	0
31	35	37	27	-0,00005	11,65690	11,65685	7	0
22	12	29	13	-0,00000	8,82843	8,82843	11	0
7	14	15	11	0,00000	9,24264	9,24264	6	0
37	32	47	36	-0,00005	11,65690	11,65685	9	0
10	17	19	18	0,00000	10,00000	10,00000	8	0
23	7	15	15	0,00001	11,31370	11,31371	9	0
23	7	20	14	0,00000	8,24264	8,24264	9	0
20	17	9	10	-0,00001	13,89950	13,89949	7	0
43	21	37	34	-0,00002	15,48530	15,48528	10	0
39	33	28	30	0,00004	12,24260	12,24264	9	0
4	17	13	8	0,00002	12,72790	12,72792	8	0
23	20	32	21	-0,00003	15,07110	15,07107	11	0
36	5	31	16	-0,00003	13,07110	13,07107	10	0
19	24	22	13	0,00004	12,24260	12,24264	8	0
34	15	19	17	0,00003	15,82840	15,82843	13	0
43	21	40	11	0,00001	14,41420	14,41421	9	0
39	18	47	28	-0,00003	15,07110	15,07107	9	0
20	16	3	11	-0,00003	19,07110	19,07107	9	0
18	15	32	22	-0,00002	17,48530	17,48528	14	0
19	17	22	34	0,00004	18,24260	18,24264	7	0
22	17	7	10	-0,00001	17,89950	17,89949	7	0
40	11	25	15	-0,00005	16,65690	16,65685	12	0
16	9	30	13	-0,00002	16,48530	16,48528	10	0
31	27	45	34	-0,00001	16,89950	16,89949	8	0
18	11	21	28	0,00004	18,24260	18,24264	8	0
25	14	31	28	-0,00002	16,48530	16,48528	10	0
36	14	22	20	0,00004	18,24260	18,24264	14	0
29	19	44	35	-0,00004	23,97060	23,97056	14	0
22	14	39	6	0,00001	20,31370	20,31371	11	0
21	19	38	24	0,00004	22,14210	22,14214	15	0
16	5	30	20	-0,00004	21,97060	21,97056	16	1
19	27	21	6	0,00003	21,82840	21,82843	8	0
37	12	39	32	0,00003	20,82840	20,82843	9	0
35	40	30	38	0,00001	20,41420	20,41421	12	0
23	24	37	14	0,00003	22,82840	22,82843	12	0
15	33	25	16	-0,00001	22,89950	22,89949	14	0
37	31	34	10	0,00004	22,24260	22,24264	9	0
9	15	16	30	0,00004	26,24260	26,24264	12	0
39	13	35	37	-0,00005	25,65690	25,65685	14	0
15	17	40	10	-0,00001	27,89950	27,89949	14	0
27	31	23	22	-0,00005	26,65690	26,65685	15	0
39	14	44	34	0,00001	24,41420	24,41421	17	0
35	15	29	38	-0,00002	25,48530	25,48528	9	0
47	33	41	13	-0,00001	25,89950	25,89949	16	0
20	12	30	34	-0,00001	27,89950	27,89949	15	0
35	6	19	8	0,00002	26,72790	26,72792	18	0
23	22	34	5	0,00001	27,31370	27,31371	21	0
30	24	23	34	0,00004	31,24260	31,24264	16	0
34	30	22	23	0,00001	28,31370	28,31371	19	0
15	13	42	23	0,00004	31,14210	31,14214	16	0
35	22	11	12	0,00004	28,14210	28,14214	15	0
40	9	15	9	0,00004	29,14210	29,14214	15	0
27	36	40	10	-0,00002	31,38480	31,38478	15	0
33	30	15	11	0,00005	30,55630	30,55635	16	0
37	10	44	37	-0,00005	31,65690	31,65685	20	0
20	5	38	22	0,00005	28,55630	28,55635	17	0
28	29	19	6	0,00002	28,72790	28,72792	12	0
30	33	18	5	0,00004	34,14210	34,14214	14	0
29	24	22	37	0,00004	34,24260	34,24264	13	0
29	5	45	27	-0,00001	33,89950	33,89949	17	0
41	25	13	17	0,00004	32,14210	32,14214	18	0
5	16	35	25	0,00001	34,31370	34,31371	16	0
23	34	31	27	-0,00005	34,65690	34,65685	21	0
29	36	22	8	-0,00003	32,07110	32,07107	13	0
19	12	27	6	0,00002	32,72790	32,72792	22	0
22	12	47	28	-0,00002	33,38480	33,38478	19	0
12	29	35	15	-0,00002	35,48530	35,48528	19	0
20	5	27	38	0,00002	38,72790	38,72792	21	0
8	13	31	34	-0,00001	39,89950	39,89949	19	0
43	23	21	30	0,00002	37,72790	37,72792	35	0
35	6	5	11	0,00001	38,31370	38,31371	15	0
30	31	6	15	-0,00005	37,65690	37,65685	11	0
37	16	23	38	0,00000	36,00000	36,00000	21	0
20	19	47	34	0,00002	38,62740	38,62742	25	0
32	31	7	13	0,00001	38,31370	38,31371	19	1
19	17	39	39	-0,00002	36,38480	36,38478	20	0
23	37	31	27	-0,00005	37,65690	37,65685	22	0
22	34	30	35	-0,00005	42,65690	42,65685	22	0
5	13	39	31	0,00000	43,21320	43,21320	21	0
20	27	27	6	-0,00004	40,97060	40,97056	34	0
15	30	45	12	0,00002	42,72790	42,72792	23	0
37	33	5	16	0,00004	43,14210	43,14214	18	0
27	33	21	34	-0,00002	41,48530	41,48528	20	0
35	37	12	6	0,00004	43,45580	43,45584	19	0
37	35	20	29	-0,00002	41,38480	41,38478	31	0
31	34	5	11	0,00002	43,72790	43,72792	17	0
19	7	39	38	0,00004	40,45580	40,45584	20	0
28	36	14	29	0,00001	46,31370	46,31371	28	0
13	33	43	8	0,00000	46,21320	46,21320	27	0
39	36	9	8	-0,00004	46,87010	46,87006	23	0
43	37	17	5	-0,00002	45,69850	45,69848	23	0
11	9	45	35	-0,00002	47,69850	47,69848	23	0
38	35	5	11	0,00002	47,62740	47,62742	23	0
44	24	3	17	0,00002	44,72790	44,72792	21	0
6	16	46	27	0,00002	45,72790	45,72792	20	0
47	37	15	9	0,00001	46,52690	46,52691	24	0
16	5	47	34	-0,00000	47,11270	47,11270	25	0
4	17	46	28	0,00004	49,14210	49,14214	21	0
46	34	16	30	0,00004	51,45580	51,45584	44	0
38	38	5	9	0,00004	51,45580	51,45584	24	0
37	35	14	29	0,00000	48,21320	48,21320	38	0
10	14	47	33	0,00002	48,62740	48,62742	27	0
47	33	10	12	0,00004	49,45580	49,45584	41	0
6	15	44	33	-0,00001	49,79900	49,79899	26	0
27	8	5	11	0,00004	49,14210	49,14214	16	0
15	30	35	39	-0,00002	49,38480	49,38478	25	0
5	15	36	40	0,00004	50,14210	50,14214	22	0
14	29	44	33	0,00004	53,45580	53,45584	33	0
6	9	35	41	0,00000	52,21320	52,21320	24	0
11	30	35	37	-0,00002	53,38480	53,38478	26	0
22	37	45	35	0,00000	54,21320	54,21320	32	0
8	8	39	41	-0,00003	52,28430	52,28427	26	0
5	12	44	37	0,00004	53,45580	53,45584	27	1
6	10	44	36	-0,00003	52,28430	52,28427	27	0
23	37	39	41	-0,00004	54,97060	54,97056	27	0
43	35	14	29	0,00004	52,45580	52,45584	45	0
35	41	21	38	0,00002	55,72790	55,72792	31	0
12	31	43	37	0,00004	58,45580	58,45584	31	0
21	38	45	33	0,00000	56,21320	56,21320	31	0
46	37	21	38	0,00003	58,04160	58,04163	42	0
21	38	39	41	-0,00002	57,38480	57,38478	28	0
47	32	21	38	0,00005	57,55630	57,55635	41	0
39	41	12	30	0,00003	58,04160	58,04163	41	0
12	29	46	36	-0,00003	57,28430	57,28427	32	0
