type: random
name: random512-30-9
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
475	257	477	261	-0,00000	4,82843	4,82843	10	0
36	170	31	173	0,00000	7,41421	7,41421	10	0
81	109	83	103	0,00000	7,41421	7,41421	14	0
220	197	225	195	-0,00000	5,82843	5,82843	11	0
205	381	212	381	-0,00000	7,82843	7,82843	9	0
181	224	178	220	-0,00000	5,82843	5,82843	9	0
205	339	207	332	-0,00000	7,82843	7,82843	13	0
94	65	99	65	0,00000	5,00000	5,00000	6	0
322	352	327	348	-0,00000	7,82843	7,82843	15	0
235	18	229	20	-0,00000	6,82843	6,82843	11	0
294	402	298	409	-0,00000	9,82843	9,82843	17	0
338	66	330	65	0,00000	8,41421	8,41421	13	0
316	177	322	171	0,00000	9,65685	9,65685	17	0
140	185	133	186	0,00000	9,41421	9,41421	20	0
231	27	240	26	0,00003	10,82840	10,82843	23	0
334	382	337	390	0,00003	11,82840	11,82843	19	0
189	297	183	292	0,00000	8,65685	8,65685	16	0
334	337	342	336	-0,00000	9,82843	9,82843	16	1
12	233	4	237	0,00004	10,24260	10,24264	16	0
314	90	322	94	0,00004	10,24260	10,24264	13	0
169	448	172	454	0,00003	13,82840	13,82843	26	0
363	56	356	65	-0,00003	13,07110	13,07107	19	0
279	166	285	164	0,00003	12,82840	12,82843	18	0
391	363	386	369	0,00000	13,00000	13,00000	25	0
501	246	504	258	0,00003	13,82840	13,82843	21	0
438	314	443	307	0,00000	12,00000	12,00000	19	0
134	35	144	35	-0,00003	13,07110	13,07107	21	0
407	461	397	461	0,00003	12,82840	12,82843	26	0
295	478	303	485	0,00001	14,41420	14,41421	32	0
130	498	117	496	0,00003	15,82840	15,82843	40	0
31	431	20	421	-0,00005	18,65690	18,65685	45	0
386	439	376	442	-0,00005	18,65690	18,65685	36	0
348	322	345	311	0,00004	16,24260	16,24264	61	0
185	41	181	26	0,00003	17,82840	17,82843	28	0
476	471	476	486	0,00004	19,24260	19,24264	44	0
263	35	257	21	-0,00005	17,65690	17,65685	33	0
374	482	377	495	0,00004	16,24260	16,24264	43	0
145	274	133	266	-0,00003	17,07110	17,07107	26	0
35	354	41	340	0,00004	18,24260	18,24264	26	0
423	219	414	204	0,00001	19,31370	19,31371	31	0
52	21	48	37	-0,00003	23,07110	23,07107	39	0
69	144	85	153	0,00004	23,24260	23,24264	53	0
460	403	473	392	-0,00003	21,07110	21,07107	56	0
350	142	348	126	-0,00002	20,48530	20,48528	44	0
192	358	176	352	-0,00005	23,65690	23,65685	82	0
352	461	366	469	0,00003	22,82840	22,82843	39	0
223	340	214	324	-0,00005	22,65690	22,65685	35	1
297	160	288	166	0,00004	23,24260	23,24264	60	0
357	333	360	323	0,00003	23,82840	23,82843	74	0
434	258	449	248	-0,00001	20,89950	20,89949	43	0
365	353	356	366	-0,00005	27,65690	27,65685	85	0
452	266	453	275	-0,00002	26,48530	26,48528	101	0
399	275	399	295	-0,00001	25,89950	25,89949	72	0
376	140	385	122	-0,00002	25,48530	25,48528	62	0
231	15	218	1	-0,00003	24,07110	24,07107	60	0
182	193	190	212	0,00004	25,24260	25,24264	75	0
461	427	462	407	0,00001	26,41420	26,41421	85	0
374	339	373	321	-0,00002	25,48530	25,48528	49	0
43	437	28	422	-0,00001	25,89950	25,89949	62	0
38	149	48	129	-0,00002	26,48530	26,48528	55	0
146	340	136	320	-0,00002	30,48530	30,48528	77	0
56	481	36	492	-0,00005	28,65690	28,65685	65	0
401	176	398	196	-0,00001	28,89950	28,89949	84	0
400	353	419	371	0,00002	31,72790	31,72792	94	1
335	312	322	325	-0,00003	31,07110	31,07107	72	0
468	159	469	137	-0,00002	29,48530	29,48528	106	0
461	103	454	83	-0,00002	31,48530	31,48528	69	0
264	396	248	378	-0,00001	31,89950	31,89949	130	0
471	430	482	437	-0,00002	28,48530	28,48528	96	0
72	371	62	390	-0,00001	28,89950	28,89949	90	0
415	81	397	88	0,00001	34,31370	34,31371	179	0
458	283	479	301	0,00002	33,72790	33,72792	110	0
72	119	84	97	0,00002	34,72790	34,72792	154	0
203	364	219	381	-0,00003	32,07110	32,07107	113	0
214	197	191	212	0,00004	32,14210	32,14214	69	0
80	443	107	442	-0,00003	35,07110	35,07107	89	1
421	358	398	347	0,00001	35,31370	35,31371	127	0
200	420	169	411	-0,00001	35,89950	35,89949	88	0
33	277	10	267	-0,00005	34,65690	34,65685	133	0
247	172	255	198	-0,00003	35,07110	35,07107	155	0
225	102	252	101	0,00001	37,31370	37,31371	130	0
453	492	474	472	0,00001	38,31370	38,31371	161	0
464	242	477	217	0,00001	39,31370	39,31371	95	0
472	361	438	356	-0,00001	38,89950	38,89949	83	0
397	237	369	245	-0,00001	37,89950	37,89949	135	0
348	251	327	234	-0,00002	36,48530	36,48528	158	0
121	302	113	270	-0,00003	37,07110	37,07107	88	1
477	37	466	37	-0,00003	38,07110	38,07107	148	0
318	239	309	266	-0,00002	38,48530	38,48528	157	0
152	373	130	354	0,00002	39,72790	39,72792	167	0
25	160	10	180	0,00001	40,31370	40,31371	153	0
461	124	432	109	0,00002	40,72790	40,72792	130	0
88	47	119	49	0,00001	42,31370	42,31371	119	0
44	389	15	409	-0,00004	41,97060	41,97056	102	0
303	151	276	132	0,00001	41,31370	41,31371	172	0
44	118	18	101	0,00004	41,14210	41,14214	179	0
416	311	392	335	-0,00004	40,97060	40,97056	152	1
116	188	84	190	-0,00002	42,48530	42,48528	148	0
159	72	165	40	-0,00001	43,89950	43,89949	150	0
311	283	332	305	-0,00003	40,07110	40,07107	200	0
343	24	370	1	-0,00001	47,79900	47,79899	193	0
46	363	64	393	0,00004	44,14210	44,14214	168	0
362	302	348	296	0,00001	45,31370	45,31371	106	0
54	149	88	130	-0,00002	45,38480	45,38478	149	0
196	390	181	356	0,00005	46,55630	46,55635	234	1
345	64	361	85	0,00005	44,55630	44,55635	301	0
225	214	235	251	0,00001	44,31370	44,31371	102	0
235	274	244	243	-0,00005	47,65690	47,65685	260	0
49	62	76	86	0,00002	47,72790	47,72792	184	0
200	223	219	224	0,00004	44,14210	44,14214	153	0
277	4	283	28	0,00004	48,14210	48,14214	97	0
364	67	404	71	-0,00004	50,97060	50,97056	296	1
325	207	368	203	0,00004	51,14210	51,14214	217	0
130	187	91	179	0,00001	50,31370	50,31371	309	0
100	494	76	465	0,00004	49,14210	49,14214	158	0
173	493	200	469	-0,00001	50,89950	50,89949	295	0
323	153	336	115	0,00001	48,31370	48,31371	195	0
160	471	140	435	-0,00001	49,79900	49,79899	175	1
486	467	484	425	-0,00001	51,89950	51,89949	182	0
125	453	112	492	0,00002	48,72790	48,72792	152	0
146	365	186	359	0,00005	55,55630	55,55635	252	0
108	265	120	309	-0,00002	54,38480	54,38478	255	0
258	112	224	117	0,00001	52,31370	52,31371	232	0
185	59	171	19	0,00002	52,72790	52,72792	297	1
66	255	37	225	0,00002	55,72790	55,72792	251	0
308	284	312	238	-0,00001	55,89950	55,89949	234	0
93	155	110	122	0,00004	54,14210	54,14214	310	0
6	297	28	256	-0,00001	54,79900	54,79899	246	0
57	43	20	52	-0,00004	54,97060	54,97056	333	1
265	176	223	162	-0,00001	55,79900	55,79899	243	0
55	265	69	226	0,00001	58,31370	58,31371	323	0
208	342	165	367	0,00002	58,62740	58,62742	263	0
392	472	401	425	0,00005	57,55630	57,55635	239	0
196	194	162	220	-0,00002	58,38480	58,38478	319	1
4	288	40	297	0,00000	56,21320	56,21320	378	0
158	391	122	410	-0,00002	57,38480	57,38478	363	0
146	493	113	478	0,00004	58,14210	58,14214	348	0
148	123	186	144	0,00002	57,72790	57,72792	351	1
